X,Y,OBJECTID,STATUS,ASSET_ID,ASSET_NAME,ASSET_ADDR,SITE_NAME,SITE_CODE,SHAREBLDG_ASSETID,SHAREBLDG_NOTE,ASSET_GROUP1,ASSET_GROUP2,ASSET_TYPE,ASSET_SUBTYPE1,ASSET_SUBTYPE2,ASSET_SUBT1_DESC,CITYOWNED,CITYUSE_DESC,OCCUPANT,MAINTAINEDBY,OPA_ID,OPA_OWNER,BLDG_SQFT,BLDG_SQFTUSE,BLDG_FL,BLDG_YR,SITE_ACRES,SERVING_TYPE,PCPC_DIST,COUNCIL_DIST,BLDG_AGE,URL,SITE_CODE2
-75.002800338156391,40.051400592707793,1040,A,2362,Jacobs Playground Athletic Field,9050 TORRESDALE AVE,Jacobs Playground,,,,Parks and Recreation All,Recreational Resources,Land,Athletic Field\Soccer Field,,Athletic Field\Soccer Field,Y,Owned,Public use,PPR,786537600,CITY OF PHILA,,,,,,C,North Delaware,6,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=767,
-75.002195709198361,40.051507719657451,1041,A,2363,Jacobs Playground Batting Cage,9050 TORRESDALE AVE,Jacobs Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Batting Cage,,Batting Cage,Y,Owned,Public use,PPR,786537600,CITY OF PHILA,,,,,,C,North Delaware,6,,,
-75.175070203356483,40.002425767724851,1042,A,2364,Shuler Playground Fields,2901 N 29TH ST,Shuler Playground,,,,Parks and Recreation All,Recreational Resources,Land,Baseball Field,,Baseball Field,Y,Owned,Public use,PPR,784639010,CITY OF PHILA,,,,,,C,North,4,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=833,
-75.174573472878208,40.002445616316223,1043,A,2365,Shuler Playground Basketball Court,2901 N 29TH ST,Shuler Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Basketball Court,,Basketball Court,Y,Owned,Public use,PPR,784639010,CITY OF PHILA,,,,,,C,North,4,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=833,
-75.174592045541047,40.002119434179569,1044,A,2366,Shuler Playground Play Equipment,2901 N 29TH ST,Shuler Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Playground,,Playground Equipment,Y,Owned,Public use,PPR,784639010,CITY OF PHILA,,,,,,C,North,4,,,
-75.174810644216564,40.001750060396503,1045,A,2367,Shuler Playground Pool,2901 N 29TH ST,Shuler Playground,,,,Parks and Recreation All,Recreational Resources,Structure,Pool,,Pool,Y,Owned,PPR,PPR,784639010,CITY OF PHILA,,,,,,C,North,4,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=833,
-75.232634854588227,39.913767623659758,1046,A,2368,James Finnegan Playground Street Hockey Rink,6801 GROVERS AVE,James Finnegan Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Street Hockey Court\Rink,,Street Hockey Court\Rink,Y,Owned,Public use,PPR,783185100,CITY OF PHILA,,,,,,C,Lower Southwest,2,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=740,
-75.233062244675864,39.91476632195053,1047,A,2369,James Finnegan Playground Baseball Field,6801 GROVERS AVE,James Finnegan Playground,,,,Parks and Recreation All,Recreational Resources,Land,Baseball Field,,Baseball Field,Y,Owned,Public use,PPR,783185100,CITY OF PHILA,,,,,,C,Lower Southwest,2,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=740,
-75.202108784872436,40.029204853681577,1048,A,1656,Walnut Lane Golf Course,639 WALNUT LN,Walnut Lane Golf Course,17608E,,,Parks and Recreation All,Recreational Resources,Land,Golf Course,,Golf Course,Y,Owned,Public use,PPR,784471100,FAIRMOUNT PARK COMM,,,,,,C,Lower Northwest,4,,http://www.phila.gov/ParksandRecreation/placestogo/facilities/Pages/golffacilities.aspx#page=1&itemId=a5402e80-ef6c-4c0c-9689-6a943cfe98a0,
-75.095263844907493,39.977998803322144,1049,A,1662,Pier 127 - Pulaski Park,3001 E ALLEGHENY AVE,Pulaski Park,,,,Parks and Recreation All,,Pier,Pier,,Pier,Y,Owned,Public use,PPR,884301502,CITY OF PHILA,,,,,1.279904,C,River Wards,6,,,
